Applications/System 	 gnome-packagekit
Applications/System 	 gnome-system-log
Applications/System 	 gnupg2
Applications/System 	 gpgme
Applications/System 	 hdparm
Applications/System 	 hwloc
Applications/System 	 i2c-tools
Applications/System 	 im-chooser
Applications/System 	 imsettings
Applications/System 	 iok
Applications/System 	 iotop
Applications/System 	 iproute
Applications/System 	 iptraf-ng
Applications/System 	 ipvsadm
Applications/System 	 isdn4k-utils
Applications/System 	 isomd5sum
Applications/System 	 ixpdimm_sw
Applications/System 	 kdeutils
Applications/System 	 kexec-tools
Applications/System 	 latencytop
Applications/System 	 ledmon
Applications/System 	 liblockfile
Applications/System 	 linuxconsoletools
Applications/System 	 lm_sensors
Applications/System 	 logwatch
Applications/System 	 lorax
Applications/System 	 lshw
Applications/System 	 lsscsi
Applications/System 	 mlocate
Applications/System 	 mstflint
Applications/System 	 mtools
Applications/System 	 mt-st
Applications/System 	 mtx
Applications/System 	 %{name}
Applications/System 	 network-manager-applet
Applications/System 	 nfs4-acl-tools
Applications/System 	 nfsometer
Applications/System 	 nfstest
Applications/System 	 nmap
Applications/System 	 nvmetcli
Applications/System 	 openchange
Applications/System 	 opendnssec
Applications/System 	 open-vm-tools
Applications/System 	 openwsman
Applications/System 	 parted
Applications/System 	 patchutils
Applications/System 	 pciutils
Applications/System 	 pcp
Applications/System 	 pinentry
Applications/System 	 powertop
Applications/System 	 procps-ng
Applications/System 	 psacct
Applications/System 	 ps_mem
Applications/System 	 psmisc
Applications/System 	 python-setuptools
Applications/System 	 rasdaemon
Applications/System 	 rdate
Applications/System 	 rdist
Applications/System 	 sane-frontends
Applications/System 	 sblim-cmpi-base
Applications/System 	 sblim-cmpi-fsvol
Applications/System 	 sblim-cmpi-network
Applications/System 	 sblim-cmpi-nfsv3
Applications/System 	 sblim-cmpi-nfsv4
Applications/System 	 sblim-cmpi-params
Applications/System 	 sblim-cmpi-sysfs
Applications/System 	 sblim-cmpi-syslog
Applications/System 	 sblim-gather
Applications/System 	 sblim-sfcb
Applications/System 	 sblim-sfcc
Applications/System 	 sblim-smis-hba
Applications/System 	 sblim-testsuite
Applications/System 	 sblim-wbemcli
Applications/System 	 screen
Applications/System 	 sdparm
Applications/System 	 setroubleshoot
Applications/System 	 setroubleshoot-plugins
Applications/System 	 setserial
Applications/System 	 setuptool
Applications/System 	 sg3_utils
Applications/System 	 snapper
Applications/System 	 softhsm
Applications/System 	 sos
Applications/System 	 spice-vdagent
Applications/System 	 sssd
Applications/System 	 strongimcv
Applications/System 	 sudo
Applications/System 	 symlinks
Applications/System 	 syslinux
Applications/System 	 sysstat
Applications/System 	 system-config-users
Applications/System 	 system-switch-java
Applications/System 	 time
Applications/System 	 tmux
Applications/System 	 tncfhh
Applications/System 	 tpm-quote-tools
Applications/System 	 tpm-tools
Applications/System 	 ttmkfdir
Applications/System 	 tuna
Applications/System 	 usb_modeswitch
Applications/System 	 usb_modeswitch-data
Applications/System 	 usbmuxd
Applications/System 	 usbutils
Applications/System 	 usermode
Applications/System 	 v4l-utils
Applications/System 	 vinagre
Applications/System 	 virt-viewer
Applications/System 	 volume_key
Applications/System 	 which
Applications/System 	 wsmancli
Applications/System 	 xferstats
Applications/System 	 xmlto
Applications/System 	 xvattr
Applications/System 	 yelp
Applications/System 	 yelp-xsl
Applications/Text 	 aspell
Applications/Text 	 diffutils
Applications/Text 	 docbook5-schemas
Applications/Text 	 docbook5-style-xsl
Applications/Text 	 docbook-dtds
Applications/Text 	 docbook-simple
Applications/Text 	 docbook-slides
Applications/Text 	 docbook-style-dsssl
Applications/Text 	 docbook-style-xsl
Applications/Text 	 docbook-utils
Applications/Text 	 dos2unix
Applications/Text 	 ed
Applications/Text 	 gawk
Applications/Text 	 gnome-dictionary
Applications/Text 	 grep
Applications/Text 	 hspell
Applications/Text 	 hunspell-af
Applications/Text 	 hunspell-ak
Applications/Text 	 hunspell-am
Applications/Text 	 hunspell-ar
Applications/Text 	 hunspell-as
Applications/Text 	 hunspell-ast
Applications/Text 	 hunspell-az
Applications/Text 	 hunspell-be
Applications/Text 	 hunspell-ber
Applications/Text 	 hunspell-bg
Applications/Text 	 hunspell-bn
Applications/Text 	 hunspell-br
Applications/Text 	 hunspell-ca
Applications/Text 	 hunspell-cop
Applications/Text 	 hunspell-csb
